Date,PE
12/1/21,23.63
11/1/21,24.52
10/1/21,24.39
9/1/21,25.35
8/1/21,26.23
7/1/21,26.56
6/1/21,26.7
5/1/21,28.05
4/1/21,29.92
3/1/21,30.5
2/1/21,33.24
1/1/21,35.96
12/1/20,39.26
11/1/20,37.16
10/1/20,35.3
9/1/20,34.27
8/1/20,34.41
7/1/20,32.44
6/1/20,31.29
5/1/20,27.82
4/1/20,24.97
3/1/20,22.8
2/1/20,26.42
1/1/20,24.88
12/1/19,22.78
11/1/19,22.62
10/1/19,22.04
9/1/19,22.44
8/1/19,21.67
7/1/19,22.28
6/1/19,21.37
5/31/19,20.43
5/1/19,21.15
4/1/19,21.56
3/1/19,20.86
2/1/19,20.6
1/1/19,19.6
12/1/18,19.39
11/1/18,20.67
10/1/18,21.25
9/1/18,22.25
8/1/18,22.37
7/1/18,22.33
6/1/18,22.49
5/1/18,22.49
4/1/18,22.53
3/1/18,23.41
2/1/18,23.82
1/1/18,24.97
12/1/17,24.25
11/1/17,23.81
10/1/17,23.67
9/1/17,23.28
8/1/17,23.16
7/1/17,23.36
6/1/17,23.4
5/1/17,23.31
4/1/17,23.24
3/1/17,23.6
2/1/17,23.68
1/1/17,23.59
12/1/16,23.76
11/1/16,23.35
10/1/16,23.57
9/1/16,24.22
8/1/16,24.57
7/1/16,24.52
6/1/16,23.97
5/1/16,23.81
4/1/16,23.97
3/1/16,23.39
2/1/16,22.02
1/1/16,22.18
12/1/15,23.74
11/1/15,23.67
10/1/15,22.68
9/1/15,21.45
8/1/15,22.15
7/1/15,22.4
6/1/15,22.12
5/1/15,21.92
4/1/15,21.42
3/1/15,20.96
2/1/15,20.77
1/1/15,20.02
12/1/14,20.08
11/1/14,19.75
10/1/14,18.5
9/1/14,18.81
8/1/14,18.68
7/1/14,18.96
6/1/14,18.88
5/1/14,18.46
4/1/14,18.35
3/1/14,18.48
2/1/14,18.06
1/1/14,18.15
12/1/13,18.04
11/1/13,18.15
10/1/13,17.86
9/1/13,17.88
8/1/13,17.91
7/1/13,18.12
6/1/13,17.8
5/1/13,18.25
4/1/13,17.69
3/1/13,17.68
2/1/13,17.32
1/1/13,17.03
12/1/12,16.44
11/1/12,16.12
10/1/12,16.62
9/1/12,16.69
8/1/12,16.14
7/1/12,15.55
6/1/12,15.05
5/1/12,15.22
4/1/12,15.7
3/1/12,15.69
2/1/12,15.37
1/1/12,14.87
12/1/11,14.3
11/1/11,14.1
10/1/11,13.88
9/1/11,13.5
8/1/11,13.79
7/1/11,15.61
6/1/11,15.35
5/1/11,16.12
4/1/11,16.21
3/1/11,16.04
2/1/11,16.52
1/1/11,16.3
12/1/10,16.05
11/1/10,15.88
10/1/10,15.9
9/1/10,15.61
8/1/10,15.47
7/1/10,15.72
6/1/10,16.15
5/1/10,17.3
4/1/10,19.01
3/1/10,18.91
2/1/10,18.91
1/1/10,20.7
12/1/09,21.78
11/1/09,28.51
10/1/09,42.12
9/1/09,83.3
8/1/09,92.95
7/1/09,101.87
6/1/09,123.32
5/1/09,123.73
4/1/09,119.85
3/1/09,110.37
2/1/09,84.46
1/1/09,70.91
12/1/08,58.98
11/1/08,34.99
10/1/08,27.22
9/1/08,26.48
8/1/08,26.83
7/1/08,25.37
6/1/08,26.11
5/1/08,25.81
4/1/08,23.88
3/1/08,21.81
2/1/08,21.74
1/1/08,21.46
12/1/07,22.35
11/1/07,20.81
10/1/07,20.68
9/1/07,19.05
8/1/07,18.02
7/1/07,18.36
6/1/07,17.83
5/1/07,17.92
4/1/07,17.48
3/1/07,16.92
2/1/07,17.49
1/1/07,17.36
12/1/06,17.38
11/1/06,17.24
10/1/06,17.14
9/1/06,16.77
8/1/06,16.67
7/1/06,16.61
6/1/06,16.82
5/1/06,17.46
4/1/06,17.77
3/1/06,17.8
2/1/06,17.8
1/1/06,18.07
12/1/05,18.07
11/1/05,18.01
10/1/05,17.64
9/1/05,18.44
8/1/05,18.72
7/1/05,19
6/1/05,19
5/1/05,18.93
4/1/05,19.02
3/1/05,19.84
2/1/05,20.11
1/1/05,19.99
12/1/04,20.48
11/1/04,20.05
10/1/04,19.25
9/1/04,19.35
8/1/04,19.03
7/1/04,19.51
6/1/04,20.17
5/1/04,20.14
4/1/04,21.23
3/1/04,21.61
2/1/04,22.46
1/1/04,22.73
12/1/03,22.17
11/1/03,23.15
10/1/03,24.75
9/1/03,26.42
8/1/03,26.57
7/1/03,27.65
6/1/03,28.6
5/1/03,28.24
4/1/03,28.05
3/1/03,27.92
2/1/03,28.46
1/1/03,31.43
12/1/02,32.59
11/1/02,32.03
10/1/02,29.24
9/1/02,28.89
8/1/02,31.53
7/1/02,32.46
6/1/02,37.92
5/1/02,41.41
4/1/02,43.81
3/1/02,46.71
2/1/02,44.57
1/1/02,46.17
12/1/01,46.37
