Date,index_inst,Standard Error
12/31/21,66.15,5.87
11/30/21,64.1,5.43
10/31/21,64.2,5.33
9/30/21,64.58,4.88
8/31/21,65.69,4.7
7/31/21,66.67,4.6
6/30/21,68.87,4.5
5/31/21,69.15,4.76
4/30/21,67.42,4.97
3/31/21,65.48,5.19
2/28/21,62.12,5.97
1/31/21,61.9,6.12
12/31/20,61.54,6.03
11/30/20,62.86,5.78
10/31/20,67.61,5.55
9/30/20,69.86,5.37
8/31/20,72.86,5.32
7/31/20,80.95,4.28
6/30/20,79.59,4.07
5/31/20,81.9,3.76
4/30/20,80.99,3.57
3/31/20,81.42,3.66
2/29/20,79.34,3.68
1/31/20,72.17,4.18
12/31/19,72.22,4.31
11/30/19,70.09,4.43
10/31/19,66.33,4.77
9/30/19,68,4.66
8/31/19,69.52,4.49
7/31/19,72,4.49
6/30/19,75.59,3.81
5/31/19,73.44,3.9
4/30/19,75.61,3.87
3/31/19,74.63,3.76
2/28/19,75,3.95
1/31/19,74.8,3.85
12/31/18,70.1,4.65
11/30/18,77,4.21
10/31/18,79.25,3.94
9/30/18,75.61,3.87
8/31/18,72.73,3.72
7/31/18,72.31,3.92
6/30/18,72.67,3.64
5/31/18,68.42,3.77
4/30/18,63.23,3.87
3/31/18,62.81,4.39
2/28/18,65.52,4.41
1/31/18,65.89,4.17
12/31/17,65.14,4.56
11/30/17,69.92,4.14
10/31/17,71.32,3.88
9/30/17,74.17,3.56
8/31/17,72.85,3.62
7/31/17,74.4,3.37
6/30/17,77.37,3.04
5/31/17,76.16,3.25
4/30/17,79.61,3.27
3/31/17,76.97,3.41
2/28/17,75.33,3.52
1/31/17,74.02,3.89
12/31/16,68.13,4.88
11/30/16,70.71,4.57
10/31/16,70.37,4.39
9/30/16,69.16,4.46
8/31/16,74.55,4.15
7/31/16,76.42,3.83
6/30/16,75,3.34
5/31/16,75.16,3.49
4/30/16,74.32,3.59
3/31/16,76.47,3.64
2/29/16,74.82,3.68
1/31/16,73.81,3.92
12/31/15,73.21,4.18
11/30/15,71.54,4.07
10/31/15,73.65,3.62
9/30/15,72.3,3.68
8/31/15,72.29,3.47
7/31/15,72,3.39
6/30/15,72.79,3.67
5/31/15,73.42,3.51
4/30/15,68.84,3.94
3/31/15,69.85,3.94
2/28/15,72.48,4.28
1/31/15,70.18,4.28
12/31/14,69.12,3.96
11/30/14,71.43,4.02
10/31/14,77.87,3.76
9/30/14,82.17,3.06
8/31/14,81.87,2.86
7/31/14,85.99,2.77
6/30/14,90.32,2.37
5/31/14,88.96,2.53
4/30/14,87.5,2.61
3/31/14,81.76,3.17
2/28/14,77.17,3.72
1/31/14,75.17,3.59
12/31/13,77.91,3.25
11/30/13,77.42,3.36
10/31/13,76.43,3.39
9/30/13,78.01,3.49
8/31/13,79.71,3.42
7/31/13,79.26,3.49
6/30/13,76.42,3.83
5/31/13,77.14,3.55
4/30/13,75.37,3.72
3/31/13,74.03,3.53
2/28/13,74.19,3.51
1/31/13,77.11,3.26
12/31/12,75,3.38
11/30/12,76.22,3.32
10/31/12,79.44,3.01
9/30/12,82.26,2.8
8/31/12,82.38,2.74
7/31/12,81.82,2.67
6/30/12,83.26,2.55
5/31/12,82.72,2.43
4/30/12,81.55,2.7
3/31/12,79.8,2.85
2/29/12,78.97,2.79
1/31/12,80.09,2.75
12/31/11,77.2,3.02
11/30/11,76.79,3.26
10/31/11,76.84,3.17
9/30/11,77.89,3.01
8/31/11,80.89,2.62
7/31/11,80.57,2.35
6/30/11,81.75,2.38
5/31/11,81.62,2.53
4/30/11,82.88,2.35
3/31/11,81.43,2.32
2/28/11,80.58,2.76
1/31/11,78.47,3.43
12/31/10,77.5,3.3
11/30/10,76.47,3.25
