Date,index_dip_indiv,Standard Error
12/31/21,70.07,3.91
11/30/21,70,4.18
10/31/21,66.92,4.08
9/30/21,68.55,3.68
8/31/21,71.43,3.56
7/31/21,69.28,3.73
6/30/21,63.58,3.92
5/31/21,62.76,4.01
4/30/21,65.38,4.17
3/31/21,62.93,4.48
2/28/21,63.72,4.52
1/31/21,67.16,4.06
12/31/20,65.15,4.15
11/30/20,63.64,4.02
10/31/20,61.22,4.02
9/30/20,62.33,4.01
8/31/20,60.14,4.17
7/31/20,58.21,4.26
6/30/20,62.96,4.16
5/31/20,63.36,4.21
4/30/20,65.99,3.91
3/31/20,65.41,4.12
2/29/20,66.91,3.99
1/31/20,66.43,3.99
12/31/19,65.15,4.15
11/30/19,63.85,4.21
10/31/19,61.61,4.6
9/30/19,60.16,4.33
8/31/19,59.86,4.11
7/31/19,59.4,4.26
6/30/19,57.89,3.78
5/31/19,58.92,3.62
4/30/19,57.07,3.58
3/31/19,57.73,3.55
2/28/19,55.63,3.93
1/31/19,54.14,3.98
12/31/18,56,4.44
11/30/18,57.5,4.51
10/31/18,64.91,4.47
9/30/18,67.42,4.08
8/31/18,67.07,3.64
7/31/18,66.67,3.46
6/30/18,67.34,3.32
5/31/18,65.05,3.32
4/30/18,61.35,3.38
3/31/18,57.89,3.78
2/28/18,54.6,3.9
1/31/18,56.95,4.03
12/31/17,54.36,4.08
11/30/17,57.97,4.2
10/31/17,58.45,4.14
9/30/17,58.75,3.89
8/31/17,58.93,3.8
7/31/17,59.14,3.6
6/30/17,58.29,3.73
5/31/17,55.08,3.64
4/30/17,54.74,3.61
3/31/17,55.5,3.6
2/28/17,55.68,3.74
1/31/17,51.97,4.05
12/31/16,49.65,4.21
11/30/16,52.53,3.97
10/31/16,53.66,3.89
9/30/16,53.41,3.76
8/31/16,53.37,3.74
7/31/16,55.28,3.52
6/30/16,56.65,3.25
5/31/16,56.68,3.62
4/30/16,55.23,3.79
3/31/16,53.9,4.2
2/29/16,59.18,4.05
1/31/16,60.54,4.03
12/31/15,64.62,4.19
11/30/15,65.85,3.7
10/31/15,68.11,3.43
9/30/15,69.84,3.34
8/31/15,67.53,3.36
7/31/15,69.12,3.23
6/30/15,69.35,3.38
5/31/15,68.62,3.38
4/30/15,65.82,3.39
3/31/15,64.89,3.48
2/28/15,62.37,3.55
1/31/15,58.97,3.94
12/31/14,57.56,3.77
11/30/14,53.25,3.84
10/31/14,55.63,4.17
9/30/14,54.76,3.84
8/31/14,57.07,3.52
7/31/14,57.14,3.67
6/30/14,58.38,3.51
5/31/14,61.2,3.6
4/30/14,59.69,3.55
3/31/14,62.18,3.49
2/28/14,64.46,3.71
1/31/14,63.35,3.49
12/31/13,60.94,3.52
11/30/13,60.93,3.33
10/31/13,62.16,3.25
9/30/13,61.66,3.5
8/31/13,58.47,3.64
7/31/13,57.22,3.55
6/30/13,55.26,3.61
5/31/13,53.71,3.77
4/30/13,53.09,3.92
3/31/13,52.69,3.66
2/28/13,52.36,3.61
1/31/13,52.81,3.74
12/31/12,56,3.75
11/30/12,55.06,3.96
10/31/12,54.27,3.89
9/30/12,54.55,3.75
8/31/12,59.69,3.55
7/31/12,62.19,3.42
6/30/12,62.15,3.32
5/31/12,65.83,2.84
4/30/12,65.49,2.98
3/31/12,67.69,2.9
2/29/12,67.73,2.95
1/31/12,68.57,2.97
12/31/11,69.82,3.08
11/30/11,65.54,3.57
10/31/11,64.41,3.6
9/30/11,64.04,3.6
8/31/11,62.07,3.41
7/31/11,57.09,2.98
6/30/11,56.8,3.13
5/31/11,58.18,3.33
4/30/11,61.29,3.09
3/31/11,59.06,3.09
2/28/11,58.16,3.52
1/31/11,61.48,4.19
12/31/10,58.62,3.73
11/30/10,58.33,3.45
10/31/10,57.61,3.64
9/30/10,59.76,3.83
8/31/10,58.95,3.57
7/31/10,58.99,3.69
6/30/10,64.25,3.58
5/31/10,62.29,3.66
4/30/10,58.25,3.54
3/31/10,57.97,3.43
