Date,index_dip_inst,Standard Error
12/31/21,73.91,5.29
11/30/21,75.31,4.79
10/31/21,73.03,4.7
9/30/21,71.29,4.5
8/31/21,66.06,4.54
7/31/21,69.09,4.41
6/30/21,66.67,4.47
5/31/21,63,4.83
4/30/21,63.04,5.03
3/31/21,66.67,4.89
2/28/21,68.92,5.38
1/31/21,64,5.54
12/31/20,62.34,5.52
11/30/20,65.43,5.28
10/31/20,69.05,5.04
9/30/20,69.51,5.08
8/31/20,68.29,5.14
7/31/20,67.42,4.97
6/30/20,66.99,4.63
5/31/20,64.22,4.59
4/30/20,65.32,4.27
3/31/20,62.07,4.51
2/29/20,64.75,4.33
1/31/20,63.33,4.4
12/31/19,63.06,4.58
11/30/19,66.06,4.54
10/31/19,63.27,4.87
9/30/19,64,4.8
8/31/19,62.86,4.72
7/31/19,63.27,4.87
6/30/19,65,4.35
5/31/19,59.84,4.44
4/30/19,61.21,4.52
3/31/19,57.14,4.41
2/28/19,56.76,4.7
1/31/19,57.85,4.49
12/31/18,55.67,5.04
11/30/18,65.31,4.81
10/31/18,62.96,4.65
9/30/18,70.63,4.06
8/31/18,67.81,3.87
7/31/18,68.42,4.03
6/30/18,70.95,3.73
5/31/18,68.92,3.8
4/30/18,66.89,3.87
3/31/18,64.04,4.49
2/28/18,66.36,4.57
1/31/18,66.94,4.28
12/31/17,63.55,4.65
11/30/17,65.29,4.33
10/31/17,65.87,4.22
9/30/17,64.75,4.05
8/31/17,62.86,4.08
7/31/17,62.82,3.87
6/30/17,59.66,3.7
5/31/17,56.6,3.93
4/30/17,55.17,4.13
3/31/17,56.46,4.09
2/28/17,60.69,4.06
1/31/17,58.82,4.51
12/31/16,60.71,5.33
11/30/16,62.5,4.94
10/31/16,68.52,4.47
9/30/16,66.67,4.54
8/31/16,62.83,4.55
7/31/16,62.99,4.28
6/30/16,63.95,3.66
5/31/16,64.71,3.86
4/30/16,61.64,4.02
3/31/16,63.16,4.18
2/29/16,65.44,4.08
1/31/16,64.52,4.3
12/31/15,63.64,4.59
11/30/15,65.87,4.22
10/31/15,67.33,3.83
9/30/15,67.11,3.85
8/31/15,65.71,3.59
7/31/15,66.67,3.46
6/30/15,68.75,3.66
5/31/15,62.58,3.79
4/30/15,59.72,4.09
3/31/15,59.03,4.1
2/28/15,57.41,4.76
1/31/15,56.88,4.74
12/31/14,54.69,4.4
11/30/14,55.37,4.52
10/31/14,54.24,4.59
9/30/14,54.61,4.04
8/31/14,53.89,3.72
7/31/14,52.53,3.97
6/30/14,52.83,3.96
5/31/14,55.7,3.95
4/30/14,60.36,3.76
3/31/14,62.18,3.88
2/28/14,63.36,4.21
1/31/14,60.39,3.94
12/31/13,58.86,3.72
11/30/13,57.31,3.78
10/31/13,56.57,3.75
9/30/13,55.63,3.93
8/31/13,58.75,3.89
7/31/13,62.99,3.89
6/30/13,64.23,4.1
5/31/13,62.09,3.92
4/30/13,60.14,4.17
3/31/13,61.01,3.87
2/28/13,58.75,3.89
1/31/13,59.76,3.77
12/31/12,61.18,3.74
11/30/12,62.13,3.73
10/31/12,59.14,3.6
9/30/12,58.95,3.57
8/31/12,55.78,3.52
7/31/12,53.99,3.42
6/30/12,54.46,3.41
5/31/12,57.44,3.18
4/30/12,59.42,3.41
3/31/12,59.8,3.43
2/29/12,65.57,3.26
1/31/12,70.75,3.12
12/31/11,71.14,3.2
11/30/11,70.62,3.42
10/31/11,70.81,3.34
