Date,index_indiv_crash,Standard Error
12/31/21,18.42,3.14
11/30/21,19.7,3.46
10/31/21,22.45,3.44
9/30/21,25.29,3.3
8/31/21,28.9,3.45
7/31/21,30,3.51
6/30/21,32.93,3.64
5/31/21,32.92,3.7
4/30/21,32.19,3.87
3/31/21,29.23,3.99
2/28/21,25.37,3.76
1/31/21,22.08,3.34
12/31/20,19.38,3.12
11/30/20,16.48,2.8
10/31/20,13.59,2.53
9/30/20,15.34,2.62
8/31/20,12.99,2.53
7/31/20,16.76,2.84
6/30/20,21.3,3.15
5/31/20,23.64,3.31
4/30/20,26.14,3.31
3/31/20,26.58,3.51
2/29/20,30.67,3.61
1/31/20,30.25,3.61
12/31/19,30.26,3.73
11/30/19,31.97,3.85
10/31/19,37.5,4.28
9/30/19,37.93,4.03
8/31/19,37.97,3.86
7/31/19,36.48,3.82
6/30/19,32.21,3.24
5/31/19,30.49,3.08
4/30/19,28.76,2.97
3/31/19,27.12,2.89
2/28/19,25.87,3.09
1/31/19,27.13,3.24
12/31/18,29.25,3.75
11/30/18,32.37,3.97
10/31/18,33.08,4.13
9/30/18,31.58,3.77
8/31/18,29.69,3.3
7/31/18,28.71,3.13
6/30/18,28.31,3.04
5/31/18,25.55,2.89
4/30/18,26.2,2.91
3/31/18,27.03,3.27
2/28/18,27.01,3.37
1/31/18,26.95,3.43
12/31/17,28.31,3.5
11/30/17,29.94,3.66
10/31/17,32.48,3.74
9/30/17,33.15,3.53
8/31/17,34.95,3.5
7/31/17,33.49,3.26
6/30/17,33.33,3.35
5/31/17,35.07,3.29
4/30/17,30.45,3.1
3/31/17,29.68,3.09
2/28/17,26.73,3.11
1/31/17,29.07,3.46
12/31/16,27.5,3.53
11/30/16,29.57,3.35
10/31/16,31.75,3.39
9/30/16,32.68,3.28
8/31/16,34.6,3.27
7/31/16,33.61,3.06
6/30/16,31.88,2.81
5/31/16,29.95,3.11
4/30/16,32.04,3.25
3/31/16,30,3.51
2/29/16,28.57,3.41
1/31/16,25.29,3.33
12/31/15,27.03,3.65
11/30/15,32.09,3.41
10/31/15,29.06,3.19
9/30/15,30.62,3.19
8/31/15,31.46,3.18
7/31/15,34.7,3.22
6/30/15,36.63,3.39
5/31/15,35.61,3.34
4/30/15,37.44,3.33
3/31/15,37.31,3.41
2/28/15,37.37,3.44
1/31/15,38.82,3.74
12/31/14,35.94,3.46
11/30/14,31.75,3.39
10/31/14,31.33,3.6
9/30/14,34.2,3.41
8/31/14,34.22,3.16
7/31/14,32.52,3.26
6/30/14,35.29,3.21
5/31/14,38.92,3.42
4/30/14,37.74,3.33
3/31/14,36.57,3.28
2/28/14,37.7,3.51
1/31/14,37.61,3.28
12/31/13,36.99,3.26
11/30/13,36.48,3.08
10/31/13,36.11,3.03
9/30/13,35.45,3.23
8/31/13,37.2,3.36
7/31/13,35.14,3.2
6/30/13,33.18,3.22
5/31/13,29,3.21
4/30/13,27.27,3.26
3/31/13,25.35,2.98
2/28/13,22.12,2.82
1/31/13,24.02,2.99
12/31/12,23.67,2.95
11/30/12,25.79,3.17
10/31/12,26.53,3.15
9/30/12,28.91,3.12
8/31/12,29.78,3.05
7/31/12,30.67,2.99
6/30/12,32.28,2.93
5/31/12,29.6,2.55
4/30/12,29.11,2.66
3/31/12,27.24,2.57
2/29/12,24.75,2.51
1/31/12,20.98,2.41
12/31/11,18.43,2.43
11/30/11,16.91,2.61
10/31/11,17.22,2.61
9/30/11,21.18,2.87
8/31/11,25.54,2.87
7/31/11,27.97,2.55
6/30/11,28.37,2.68
5/31/11,28.86,2.89
4/30/11,27.9,2.7
3/31/11,27.97,2.65
2/28/11,28.05,3.02
1/31/11,25.95,3.49
12/31/10,25.73,3.05
11/30/10,26.67,2.85
10/31/10,28.83,3.04
9/30/10,28.28,3.2
8/31/10,27.88,2.98
7/31/10,30.92,3.21
6/30/10,33.49,3.24
5/31/10,34.13,3.29
4/30/10,32,3.11
3/31/10,29.84,2.91
2/28/10,32.06,2.88
1/31/10,31.87,2.82
12/31/09,31.56,2.98
11/30/09,29.73,2.66
10/31/09,31.41,2.79
9/30/09,33.03,3.16
8/31/09,28.1,3.1
7/31/09,25,3.16
6/30/09,22.07,2.84
5/31/09,18.67,3.02
4/30/09,14.57,2.5
3/31/09,15.38,2.18
2/28/09,15.9,2.37
1/31/09,18.22,2.46
12/31/08,17.72,2.4
11/30/08,20.69,2.38
10/31/08,24.75,2.51
9/30/08,25.82,2.8
8/31/08,25.99,2.52
7/31/08,26.49,2.41
6/30/08,27.5,2.23
5/31/08,29.85,2.31
4/30/08,29.27,2.32
3/31/08,30.08,2.09
2/29/08,30.16,2.19
1/31/08,29.18,2.21
12/31/07,31.11,2.35
11/30/07,28.37,2.37
10/31/07,29.17,2.48
9/30/07,30,2.84
8/31/07,29.89,2.83
7/31/07,30.25,2.98
6/30/07,29.48,3.47
5/31/07,29.94,3.54
4/30/07,33.73,3.67
3/31/07,35.21,4.01
2/28/07,36.91,3.95
1/31/07,39.74,3.98
12/31/06,39.11,3.65
11/30/06,42.07,3.85
10/31/06,38.73,4.09
9/30/06,39.23,4.28
8/31/06,41.79,4.26
7/31/06,40.74,4.23
6/30/06,43.36,4.66
