Date,index_inst_crash,Standard Error
12/31/21,29.87,5.22
11/30/21,30,4.83
10/31/21,28.57,4.56
9/30/21,30.36,4.34
8/31/21,30.58,4.19
7/31/21,34.17,4.33
6/30/21,35,4.35
5/31/21,34.91,4.63
4/30/21,35.29,4.73
3/31/21,35.58,4.69
2/28/21,34.83,5.05
1/31/21,26.09,4.58
12/31/20,25.77,4.44
11/30/20,23.53,4.2
10/31/20,25,4.33
9/30/20,24,4.27
8/31/20,28.87,4.6
7/31/20,40.37,4.7
6/30/20,39.68,4.36
5/31/20,44.36,4.31
4/30/20,49.34,4.06
3/31/20,51.08,4.24
2/29/20,48.61,4.17
1/31/20,42.75,4.21
12/31/19,48.03,4.43
11/30/19,43.85,4.35
10/31/19,34.71,4.33
9/30/19,35.48,4.3
8/31/19,36.43,4.24
7/31/19,36.22,4.26
6/30/19,36.54,3.86
5/31/19,33.12,3.79
4/30/19,35.86,3.98
3/31/19,34.81,3.79
2/28/19,35.92,4.03
1/31/19,38.26,3.98
12/31/18,32.76,4.36
11/30/18,40.5,4.46
10/31/18,42.75,4.32
9/30/18,43.71,4.04
8/31/18,39.08,3.7
7/31/18,37.97,3.86
6/30/18,36.11,3.58
5/31/18,34.64,3.56
4/30/18,31.84,3.48
3/31/18,28.78,3.84
2/28/18,31.54,4.08
1/31/18,31.03,3.84
12/31/17,33.87,4.25
11/30/17,37.41,4.1
10/31/17,36.77,3.87
9/30/17,37.43,3.7
8/31/17,36.36,3.63
7/31/17,38.22,3.52
6/30/17,37.39,3.25
5/31/17,34.8,3.34
4/30/17,33.15,3.5
3/31/17,32.24,3.46
2/28/17,32.78,3.5
1/31/17,30.57,3.68
12/31/16,26.61,4.23
11/30/16,25.41,3.94
10/31/16,27.82,3.89
9/30/16,30.37,3.96
8/31/16,32.86,3.97
7/31/16,33.55,3.79
6/30/16,33.49,3.24
5/31/16,34.92,3.47
4/30/16,36.11,3.58
3/31/16,35.58,3.75
2/29/16,34.52,3.67
1/31/16,34.64,3.85
12/31/15,40,4.22
11/30/15,37.66,3.9
10/31/15,35.87,3.54
9/30/15,35.52,3.54
8/31/15,34.3,3.3
7/31/15,36.2,3.23
